2025-12-30 12:28:51,961 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2954.8400 V=366.5924
2025-12-30 12:28:51,962 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=2958.1700 L=2944.2000 C=2954.8400 V=55.7594
2025-12-30 12:28:51,962 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2958.5300 V=377.9442
2025-12-30 12:28:51,962 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=2958.5300 L=2944.2000 C=2958.5300 V=67.1112
2025-12-30 12:28:51,962 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2954.3600 V=399.5236
2025-12-30 12:28:51,965 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=2958.6000 L=2944.2000 C=2954.3600 V=88.6906
2025-12-30 12:28:51,974 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2952.1600 V=413.1802
2025-12-30 12:28:51,978 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=2958.6000 L=2944.2000 C=2952.1600 V=102.3472
2025-12-30 12:28:51,978 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2948.6300 V=420.2948
2025-12-30 12:28:51,985 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=2958.6000 L=2944.2000 C=2948.6300 V=109.4618
2025-12-30 12:28:51,985 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2943.9900 V=438.2191
2025-12-30 12:28:51,991 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=2958.6000 L=2939.6700 C=2943.9900 V=127.3861
2025-12-30 12:28:51,992 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2940.8800 V=454.6181
2025-12-30 12:28:51,995 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=2958.6000 L=2939.6700 C=2940.8800 V=143.7851
2025-12-30 12:28:51,997 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2940.3400 V=461.0114
2025-12-30 12:28:51,997 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=2958.6000 L=2938.7100 C=2940.3400 V=150.1784
2025-12-30 12:28:51,997 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2930.3800 C=2940.6700 V=481.0652
2025-12-30 12:28:51,997 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=3116.5900 L=2938.6900 C=2940.6700 V=170.2322
2025-12-30 12:28:52,005 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2930.3800 C=2932.9000 V=511.4431
2025-12-30 12:28:52,008 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=3116.5900 L=2932.8900 C=2932.9000 V=200.6101
2025-12-30 12:28:52,008 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2930.3800 C=2939.0100 V=528.9152
2025-12-30 12:28:52,013 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=3116.5900 L=2932.8900 C=2939.0100 V=218.0822
2025-12-30 12:28:52,013 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2930.3800 C=2932.8900 V=538.1628
2025-12-30 12:28:52,021 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=3116.5900 L=2932.8900 C=2932.8900 V=227.3298
2025-12-30 12:28:52,024 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2927.2100 C=2927.2100 V=561.5644
2025-12-30 12:28:52,026 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=3116.5900 L=2927.2100 C=2927.2100 V=250.7314
2025-12-30 12:28:52,029 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2924.3500 C=2927.8800 V=581.3679
2025-12-30 12:28:52,032 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=3116.5900 L=2924.3500 C=2927.8800 V=270.5349
2025-12-30 12:28:52,032 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2924.3500 C=2925.5000 V=598.7699
2025-12-30 12:28:52,038 | INFO | Market Data| Timeframe=15m | O=2927.7600 H=2928.1600 L=2925.5000 C=2925.5000 V=17.4020
2025-12-30 12:28:52,040 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2920.1000 C=2922.1400 V=623.7207
2025-12-30 12:28:52,042 | INFO | Market Data| Timeframe=15m | O=2927.7600 H=2928.1600 L=2920.1000 C=2922.1400 V=42.3528
2025-12-30 12:28:52,046 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2920.1000 C=2924.7200 V=631.5682
2025-12-30 12:28:52,048 | INFO | Market Data| Timeframe=15m | O=2927.7600 H=2928.1600 L=2920.1000 C=2924.7200 V=50.2003
2025-12-30 12:28:52,050 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2920.1000 C=2925.1600 V=645.8638
2025-12-30 12:28:52,054 | INFO | Market Data| Timeframe=15m | O=2927.7600 H=2928.1600 L=2920.1000 C=2925.1600 V=64.4959
2025-12-30 12:28:52,056 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3116.5900 L=2920.1000 C=2924.9200 V=650.1355
2025-12-30 12:28:52,057 | INFO | Market Data| Timeframe=15m | O=2927.7600 H=2928.1600 L=2920.1000 C=2924.9200 V=68.7676
2025-12-30 12:28:52,061 | INFO | Signal Generation | Bar=2025-12-29T20:30:00 | Signals=1 | Signal: BUY 0.0000 at MARKET
